6922,7444
6023,8658
6937,1608
6498,5968
4738,5997
3511,2236
2329,6969
1537,698
8863,2032
486,5718
2143,2594
7385,2218
867,1947
1893,350
5951,3697
4747,3787
6194,6901
7902,8108
904,4568
653,4753
5785,2477
7081,9415
9923,9558
119,7993
8445,9449
9800,5181
2280,769
2145,4299
43,3780
7745,4958
9651,6113
3,1028
1232,9653
5984,5371
8986,3378
9722,4262
1369,5674
9845,9587
5445,7884
2237,1257
1818,3835
1848,6419
3824,9473
1493,5393
4724,3574
8020,7041
6730,5614
5012,9566
2460,6017
8134,249
3540,4663
8889,5032
9602,5499
3787,6506
844,2469
8737,2074
1529,6450
3118,5776
4236,3489
7092,1666
8110,576
633,5376
5241,2652
7403,5639
646,258
7082,9287
9600,1977
7587,7025
4817,6686
6674,8183
5645,4860
4521,2237
4701,5909
5477,266
2475,9079
5289,8818
8762,6429
2010,2947
4006,3483
9621,6906
7929,7985
5824,582
5233,9269
2328,9383
8683,5931
942,7379
6645,8724
5856,3222
5889,8223
660,9144
6997,7097
3141,1411
4800,8070
502,3140
9773,4608
2993,1319
6867,9562
235,7461
8831,3917
6810,5239
3555,5895
1408,6347
8089,7702
2145,19
557,8579
6850,5578
2805,455
9678,812
4809,4386
5575,6942
8715,8965
9367,4043
2914,9397
493,6852
8440,8159
4172,1953
1390,5203
5549,1084
5654,6561
3103,6859
5885,480
2567,1169
7510,7172
8269,6375
9613,9175
2626,4411
8085,9600
6269,4346
6269,7113
3406,8420
7166,5044
1345,2160
4372,4865
4161,7338
4653,8544
4902,7973
1268,8436
1037,8188
6355,8150
6256,5472
1102,3856
6949,8967
5495,9467
3598,1527
8636,1187
4539,8242
3128,4402
9383,826
8840,399
6506,2620
2984,910
1702,1045
4236,4360
3122,9326
8511,7765
7677,7802
838,7621
7273,3284
7773,2084
6352,4594
1251,2615
8366,3444
3971,6336
4810,6547
8707,208
9000,5922
1619,3610
2466,189
2137,5868
4694,1119
6301,3943
2694,849
3185,6394
7359,5169
6779,6058
2724,6713
3713,1891
1358,361
2211,7903
6722,7539
9181,6219
596,8256
8386,1733
6142,6869
5120,7044
1135,1881
7021,5201
7913,6940
9538,7472
250,7198
8585,9251
9370,2621
7107,2260
2187,9339
2235,2091
7593,3859
8742,6761
1569,68
3326,4054
2088,1440
236,473
